,fullname,html,id,likes,replies,retweets,text,timestamp,url,user
126,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Build your products in the United States and there are NO TARIFFS!</p>",1126821318861697024,102747,14201,23573,Build your products in the United States and there are NO TARIFFS!,2019-05-10T12:08:32,/realDonaldTrump/status/1126821318861697024,realDonaldTrump
127,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">....If we bought 15 Billion Dollars of Agriculture from our Farmers, far more than China buys now, we would have more than 85 Billion Dollars left over for new Infrastructure, Healthcare, or anything else. China would greatly slow down, and we would automatically speed up!</p>",1126821035146469376,71404,7131,15242,"....If we bought 15 Billion Dollars of Agriculture from our Farmers, far more than China buys now, we would have more than 85 Billion Dollars left over for new Infrastructure, Healthcare, or anything else. China would greatly slow down, and we would automatically speed up!",2019-05-10T12:07:24,/realDonaldTrump/status/1126821035146469376,realDonaldTrump
128,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The average 401(k) balance has SOARED since the bottom of the market - 466%. Wow!</p>",1126817742043136001,57938,6958,12641,The average 401(k) balance has SOARED since the bottom of the market - 466%. Wow!,2019-05-10T11:54:19,/realDonaldTrump/status/1126817742043136001,realDonaldTrump
129,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tariffs will make our Country MUCH STRONGER, not weaker. Just sit back and watch! In the meantime, China should not renegotiate deals with the U.S. at the last minute. This is not the Obama Administration, or the Administration of Sleepy Joe, who let China get away with “murder!”</p>",1126816259851673601,62897,8179,16401,"Tariffs will make our Country MUCH STRONGER, not weaker. Just sit back and watch! In the meantime, China should not renegotiate deals with the U.S. at the last minute. This is not the Obama Administration, or the Administration of Sleepy Joe, who let China get away with “murder!”",2019-05-10T11:48:26,/realDonaldTrump/status/1126816259851673601,realDonaldTrump
130,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tariffs will bring in FAR MORE wealth to our Country than even a phenomenal deal of the traditional kind. Also, much easier &amp; quicker to do. Our Farmers will do better, faster, and starving nations can now be helped. Waivers on some products will be granted, or go to new source!</p>",1126815715682656256,69160,6248,14166,"Tariffs will bring in FAR MORE wealth to our Country than even a phenomenal deal of the traditional kind. Also, much easier & quicker to do. Our Farmers will do better, faster, and starving nations can now be helped. Waivers on some products will be granted, or go to new source!",2019-05-10T11:46:16,/realDonaldTrump/status/1126815715682656256,realDonaldTrump
131,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">....agricultural products from our Great Farmers, in larger amounts than China ever did, and ship it to poor &amp; starving countries in the form of humanitarian assistance. In the meantime we will continue to negotiate with China in the hopes that they do not again try to redo deal!</p>",1126815129218293760,25788,1703,6589,"....agricultural products from our Great Farmers, in larger amounts than China ever did, and ship it to poor & starving countries in the form of humanitarian assistance. In the meantime we will continue to negotiate with China in the hopes that they do not again try to redo deal!",2019-05-10T11:43:56,/realDonaldTrump/status/1126815129218293760,realDonaldTrump
132,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">....The process has begun to place additional Tariffs at 25% on the remaining 325 Billion Dollars. The U.S. only sells China approximately 100 Billion Dollars of goods &amp; products, a very big imbalance. With the over 100 Billion Dollars in Tariffs that we take in, we will buy.....</p>",1126815128106799104,19359,1199,5195,"....The process has begun to place additional Tariffs at 25% on the remaining 325 Billion Dollars. The U.S. only sells China approximately 100 Billion Dollars of goods & products, a very big imbalance. With the over 100 Billion Dollars in Tariffs that we take in, we will buy.....",2019-05-10T11:43:56,/realDonaldTrump/status/1126815128106799104,realDonaldTrump
133,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Talks with China continue in a very congenial manner - there is absolutely no need to rush - as Tariffs are NOW being paid to the United States by China of 25% on 250 Billion Dollars worth of goods &amp; products. These massive payments go directly to the Treasury of the U.S....</p>",1126815126584266753,88277,12236,18270,Talks with China continue in a very congenial manner - there is absolutely no need to rush - as Tariffs are NOW being paid to the United States by China of 25% on 250 Billion Dollars worth of goods & products. These massive payments go directly to the Treasury of the U.S....,2019-05-10T11:43:56,/realDonaldTrump/status/1126815126584266753,realDonaldTrump
134,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">V.P. Mike Pence will be interviewed on <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15513604"" dir=""ltr"" href=""/foxandfriends""><s>@</s><b>foxandfriends</b></a> at 7:30 A.M. Enjoy!</p>",1126811013175754752,31584,3415,5654,V.P. Mike Pence will be interviewed on @foxandfriends at 7:30 A.M. Enjoy!,2019-05-10T11:27:35,/realDonaldTrump/status/1126811013175754752,realDonaldTrump
135,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We have lost 500 Billion Dollars a year, for many years, on Crazy Trade with China. NO MORE!</p>",1126810275255136256,81607,7732,19924,"We have lost 500 Billion Dollars a year, for many years, on Crazy Trade with China. NO MORE!",2019-05-10T11:24:39,/realDonaldTrump/status/1126810275255136256,realDonaldTrump
136,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Republicans must stick together!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/realDonaldTrump/status/1126625647214964737"" dir=""ltr"" href=""https://t.co/APrvcjpqOp"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/realDonaldTrump/status/1126625647214964737""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/realDonaldTrum</span><span class=""invisible"">p/status/1126625647214964737</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",1126697884953370625,63707,8810,16434,Republicans must stick together!https://twitter.com/realDonaldTrump/status/1126625647214964737 …,2019-05-10T03:58:03,/realDonaldTrump/status/1126697884953370625,realDonaldTrump
137,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">James Comey is a disgrace to the FBI &amp; will go down as the worst Director in its long and once proud history. He brought the FBI down, almost all Republicans &amp; Democrats thought he should be FIRED, but the FBI will regain greatness because of the great men &amp; women who work there!</p>",1126683358917025798,109070,23640,27120,"James Comey is a disgrace to the FBI & will go down as the worst Director in its long and once proud history. He brought the FBI down, almost all Republicans & Democrats thought he should be FIRED, but the FBI will regain greatness because of the great men & women who work there!",2019-05-10T03:00:20,/realDonaldTrump/status/1126683358917025798,realDonaldTrump
